Stand,Year,Round,Age,AvgCanopy
316,2019,3,15,95.2738811
317,2019,3,17,98.1704149
318,2019,3,13,99.00077934
319,2019,3,9,91.31151191
320,2019,3,5,1.283000784
321,2019,3,12,96.3740815
322,2019,3,6,0.021901727
323,2019,3,3,0
324,2019,3,12,31.26530839
325,2019,3,7,39.32169895
326,2019,3,11,68.33945669
327,2019,3,9,28.11549024
328,2019,3,15,96.89712759
329,2019,3,14,94.57247829
330,2019,3,6,11.65597862
331,2019,3,10,NA
332,2019,3,15,98.1218848
333,2019,3,4,0
334,2019,3,9,22.13885542
335,2019,3,3,0.066800267
336,2019,3,7,15.36349352
337,2019,3,18,99.2280858
338,2019,3,9,13.59862582
339,2019,3,6,32.40877466
340,2019,3,2,0
341,2019,3,3,0
342,2019,3,4,0
343,2019,3,10,84.89691504
344,2019,3,21,96.4698628
345,2019,3,12,82.97174058
346,2019,3,9,26.52457693
347,2019,3,10,92.03777926
348,2019,3,5,2.517830273
349,2019,3,18,99.07221851
350,2019,3,33,99.27633044
351,2019,3,15,91.54658523
352,2019,3,34,82.70095747
353,2019,3,19,96.15898464
354,2019,3,35,97.20849106
355,2019,3,14,71.70080903
356,2019,3,33,95.70622727
357,2019,3,3,0
358,2019,3,21,98.42741038
359,2019,3,33,97.62191049
360,2019,3,33,95.31274087
